Second,%CPU
1,48.6
2,48.7
3,48.8
4,48.9
5,49.0
6,49.0
7,49.1
8,49.2
9,49.3
10,49.3
11,49.4
12,49.4
13,49.5
14,49.6
15,49.7
16,49.8
17,49.8
18,49.8
19,49.9
20,49.0
21,49.0
22,49.0
23,49.0
24,49.1
25,49.1
26,49.6
27,50.8
28,51.9
29,52.3
30,53.4
31,54.4
32,55.5
33,56.4
34,56.6
35,57.5
36,58.5
37,59.3
38,59.3
39,60.1
40,60.9
41,61.7
42,62.4
43,62.3
44,63.0
45,63.7
46,64.3
47,65.0
48,65.6
49,65.5
50,66.2
51,67.0
52,67.6
53,67.4
54,68.0
55,68.5
56,69.1
57,68.9
58,69.4
59,69.9
60,70.5
61,71.0
62,70.7
63,71.2
64,71.7
65,72.1
66,72.6
67,72.4
68,72.8
69,73.2
70,73.7
71,73.4
72,73.8
73,74.2
74,74.6
75,75.0
76,74.8
77,75.2
78,75.6
79,75.9
80,76.3
81,76.1
82,76.4
83,76.7
84,77.1
85,76.9
86,77.2
87,77.5
88,77.9
89,78.2
90,77.9
91,78.2
92,78.5
93,78.8
94,79.1
95,78.9
96,79.1
97,79.4
98,79.7
99,79.5
100,79.8
101,80.0
102,80.5
103,80.3
104,80.6
105,80.8
106,81.1
107,80.9
108,81.2
109,81.5
110,81.3
111,81.5
112,81.8
113,82.0
114,81.8
115,82.0
116,82.3
117,82.5
118,82.2
119,82.5
120,82.7
121,82.9
122,83.0
123,83.2
124,83.0
125,83.2
126,83.4
127,83.7
128,83.4
129,83.6
130,83.8
131,84.1
132,83.8
133,84.0
134,84.2
135,84.4
136,84.5
137,84.3
138,84.5
139,84.7
140,84.8
141,85.0
142,84.8
143,84.9
144,85.1
145,85.3
146,85.4
147,85.2
148,85.4
149,85.6
150,85.8
151,85.5
152,85.7
153,85.8
154,86.0
155,86.1
156,85.9
157,86.0
158,86.2
159,86.3
160,86.5
161,86.2
162,86.4
163,86.5
164,86.7
165,86.9
166,86.6
167,86.8
168,86.9
169,87.1
170,87.2
171,86.9
172,87.1
173,87.3
174,87.4
175,87.2
176,87.3
177,87.5
178,87.6
179,87.7
180,87.5
181,87.6
182,87.7
183,87.8
184,88.0
185,87.8
186,87.9
187,88.0
188,88.2
189,88.3
190,88.1
191,88.2
192,88.3
193,88.4
194,88.2
195,88.3
196,88.4
197,88.6
198,88.7
199,88.8
200,88.6
201,88.7
202,88.8
203,88.9
204,89.0
205,88.8
206,88.9
207,89.0
208,89.2
209,89.3
210,89.0
211,89.2
212,89.3
213,89.4
214,89.2
215,89.3
216,89.4
217,89.5
218,89.6
219,89.7
220,89.5
221,89.6
222,89.7
223,89.8
224,89.9
225,89.7
226,89.8
227,89.9
228,90.0
229,90.0
230,89.8
231,89.9
232,90.0
233,90.1
234,90.2
235,90.0
236,90.1
237,90.2
238,90.3
239,90.4
240,90.2
241,90.3
242,90.4
243,90.5
244,90.6
245,90.4
246,90.5
247,90.6
248,90.6
249,90.7
250,90.6
251,90.6
252,90.7
253,90.8
254,90.9
255,90.7
256,90.8
257,90.9
258,91.0
259,91.1
260,90.9
261,91.0
262,91.0
263,91.1
264,90.9
265,91.0
266,91.1
267,91.2
268,91.3
269,91.3
270,91.2
271,91.2
272,91.3
273,91.4
274,91.2
275,91.3
276,91.4
277,91.5
278,91.5
279,91.4
280,91.5
281,91.5
282,91.6
283,91.5
284,91.6
285,91.6
286,91.7
287,91.8
288,91.6
289,91.7
290,91.8
291,91.8
292,91.9
293,91.7
294,91.8
295,91.9
296,92.0
297,92.0
298,91.9
299,91.9
300,92.0
301,92.1
302,92.2
303,92.0
304,92.1
305,92.1
306,92.2
307,92.3
308,92.1
309,92.2
310,92.2
311,92.3
312,92.4
313,92.2
314,92.3
315,92.4
316,92.4
317,92.5
318,92.3
319,92.4
320,92.5
321,92.5
322,92.6
323,92.4
324,92.5
325,92.6
326,92.6
327,92.5
328,92.5
329,92.6
330,92.7
331,92.7
332,92.6
333,92.6
334,92.7
335,92.8
336,92.8
337,92.7
338,92.8
339,92.8
340,92.9
341,92.9
342,92.8
343,92.8
344,92.9
345,93.0
346,93.0
347,92.9
348,92.9
349,93.0
350,93.1
351,93.1
352,93.0
353,93.0
354,93.1
355,93.1
356,93.2
357,93.1
358,93.1
359,93.2
360,93.2
361,93.3
362,93.2
363,93.2
364,93.3
365,93.4
366,93.2
367,93.3
368,93.3
369,93.4
370,93.2
371,93.3
372,93.4
373,93.4
374,93.5
375,93.3
376,93.4
377,93.5
378,93.5
379,93.6
380,93.4
381,93.5
382,93.5
383,93.6
384,93.6
385,93.5
386,93.6
387,93.6
388,93.7
389,93.7
390,93.6
391,93.7
392,93.7
393,93.8
394,93.6
395,93.7
396,93.7
397,93.8
398,93.8
399,93.7
400,93.7
401,93.8
402,93.8
403,93.9
404,93.8
405,93.8
406,93.9
407,93.9
408,94.0
409,93.8
410,93.9
411,93.9
412,94.0
413,94.0
414,93.9
415,94.0
416,94.0
417,94.0
418,94.1
419,93.9
420,94.0
421,94.0
422,94.1
423,94.1
424,94.0
425,94.0
426,94.1
427,94.1
428,94.2
429,94.1
430,94.1
431,94.2
432,94.2
433,94.2
434,94.1
435,94.2
436,94.2
437,94.3
438,94.2
439,94.2
440,94.2
441,94.3
442,94.3
443,94.2
444,94.3
445,94.3
446,94.4
447,94.4
448,94.3
449,94.3
450,94.4
451,94.4
452,94.5
453,94.3
454,94.4
455,94.4
456,94.5
457,94.3
458,94.4
459,94.4
460,94.5
461,94.5
462,94.4
463,94.5
464,94.5
465,94.6
466,94.6
467,94.5
468,94.5
469,94.6
470,94.6
471,94.5
472,94.5
473,94.6
474,94.6
475,94.7
476,94.5
477,94.6
478,94.6
479,94.7
480,94.7
481,94.6
482,94.6
483,94.7
484,94.7
485,94.8
486,94.7
487,94.7
488,94.7
489,94.7
490,94.8
491,94.8
492,94.7
493,94.8
494,94.8
495,94.8
496,94.9
497,94.8
498,94.8
499,94.8
500,94.9
501,94.9
502,94.8
503,94.8
504,94.9
505,94.9
506,94.8
507,94.9
508,94.9
509,95.0
510,95.0
511,94.9
512,94.9
513,95.0
514,95.0
515,94.9
516,94.9
517,95.0
518,95.0
519,95.0
520,94.9
521,95.0
522,95.0
523,95.1
524,95.1
525,95.0
526,95.0
527,95.1
528,95.1
529,95.1
530,95.0
531,95.1
532,95.1
533,95.1
534,95.2
535,95.1
536,95.1
537,95.1
538,95.2
539,95.2
540,95.1
541,95.1
542,95.2
543,95.2
544,95.3
545,95.1
546,95.2
547,95.2
548,95.3
549,95.3
550,95.2
551,95.2
552,95.3
553,95.3
554,95.2
555,95.2
556,95.3
557,95.3
558,95.3
559,95.2
560,95.3
561,95.3
562,95.3
563,95.4
564,95.3
565,95.3
566,95.4
567,95.4
568,95.4
569,95.3
570,95.4
571,95.4
572,95.4
573,95.3
574,95.4
575,95.4
576,95.4
577,95.5
578,95.4
579,95.4
580,95.4
581,95.5
582,95.5
583,95.4
584,95.4
585,95.5
586,95.5
587,95.5
588,95.4
589,95.5
590,95.5
591,95.5
592,95.6
593,95.5
594,95.5
595,95.5
596,95.6
597,95.6
598,95.5
599,95.5
600,95.6
601,95.6
602,95.6
603,95.5
604,95.6
605,95.6
606,95.6
607,95.7
608,95.6
609,95.6
610,95.6
611,95.7
612,95.7
613,95.6
614,95.6
615,95.7
616,95.7
617,95.7
618,95.7
619,95.7
620,95.7
621,95.7
622,95.8
623,95.7
624,95.7
625,95.7
626,95.8
627,95.8
628,95.7
629,95.7
630,95.8
631,95.8
632,95.7
633,95.7
634,95.8
635,95.8
636,95.8
637,95.7
638,95.8
639,95.8
640,95.8
641,95.9
642,95.8
643,95.8
644,95.8
645,95.9
646,95.9
647,95.8
648,95.8
649,95.9
650,95.9
651,95.9
652,95.9
653,95.8
654,95.9
655,95.9
656,95.9
657,96.0
658,95.9
659,95.9
660,95.9
661,96.0
662,96.0
663,95.9
664,95.9
665,96.0
666,96.0
667,96.0
668,95.9
669,96.0
670,96.0
671,96.0
672,96.0
673,96.0
674,96.0
675,96.0
676,96.0
677,96.0
678,96.0
679,96.0
680,96.1
681,96.1
682,96.0
683,96.0
684,96.0
685,96.1
686,96.1
687,96.0
688,96.0
689,96.1
690,96.1
691,96.1
692,96.0
693,96.1
694,96.1
695,96.1
696,96.0
697,96.1
698,96.1
699,96.1
700,96.2
701,96.1
702,96.1
703,96.1
704,96.2
705,96.2
706,96.1
707,96.1
708,96.2
709,96.2
710,96.2
711,96.1
712,96.2
713,96.2
714,96.2
715,96.2
716,96.2
717,96.2
718,96.2
719,96.2
720,96.2
721,96.2
722,96.2
723,96.2
724,96.3
725,96.2
726,96.2
727,96.2
728,96.3
729,96.3
730,96.2
731,96.2
732,96.3
733,96.3
734,96.3
735,96.2
736,96.3
737,96.3
738,96.3
739,96.3
740,96.2
741,96.3
742,96.3
743,96.3
744,96.3
745,96.3
746,96.3
747,96.3
748,96.3
749,96.4
750,96.3
751,96.3
752,96.3
753,96.4
754,96.4
755,96.3
756,96.3
757,96.4
758,96.4
759,96.4
760,96.3
761,96.4
762,96.4
763,96.4
764,96.4
765,96.4
766,96.4
767,96.4
768,96.4
769,96.5
770,96.4
771,96.4
772,96.4
773,96.5
774,96.4
775,96.4
776,96.4
777,96.5
778,96.5
779,96.4
780,96.4
781,96.5
782,96.5
783,96.5
784,96.4
785,96.5
786,96.5
787,96.5
788,96.5
789,96.5
790,96.5
791,96.5
792,96.5
793,96.4
794,96.5
795,96.5
796,96.5
797,96.5
798,96.6
799,96.5
800,96.5
801,96.5
802,96.6
803,96.6
804,96.5
805,96.5
806,96.5
807,96.6
808,96.6
809,96.5
810,96.5
811,96.6
812,96.6
813,96.6
814,96.5
815,96.6
816,96.6
817,96.6
818,96.6
819,96.6
820,96.6
821,96.6
822,96.6
823,96.7
824,96.6
825,96.6
826,96.6
827,96.6
828,96.6
829,96.6
830,96.6
831,96.6
832,96.7
833,96.7
834,96.6
835,96.6
836,96.7
837,96.7
838,96.7
839,96.6
840,96.7
841,96.7
842,96.7
843,96.7
844,96.6
845,96.7
846,96.7
847,96.7
848,96.7
849,96.7
850,96.7
851,96.7
852,96.7
853,96.7
854,96.7
855,96.7
856,96.7
857,96.7
858,96.7
859,96.7
860,96.7
861,96.7
862,96.8
863,96.7
864,96.7
865,96.7
866,96.8
